,PsychAD-V3,Herring-V3,U01-V2
NRXN1,0.0027592531105506525,-0.012156151758554962,-0.013888052434712283
NRXN3,-0.006030472600324874,-0.004305794852891001,-0.012025293573723454
NLGN1,-0.004814587277250747,-0.018193976991473237,-0.021044639836979892
NLGN4X,-0.011165597514853683,-0.007566947085008088,-0.025202252812424643
GRIK1,0.0065207018494100304,-0.041826769206377415,-0.03184847464440158
GRIK2,0.00015127425534318978,-0.003100745508690923,-0.00929469127977631
GRM7,-0.005384145873492306,-0.020338486279187,-0.027156800755869532
GRM1,-0.0066225550101779405,-0.007672865436431525,-0.009576721269558
KIRREL3,-0.01612468674984126,-0.010879958919505942,-0.0495108630768171
NTM,-0.014196934022822853,-0.015346330797176976,-0.02744922422648131
MEF2C,0.001228877987996658,-0.019327756923502613,-0.002945995543457227
DLGAP1,-0.005349669223572172,-0.00151615796419532,-0.012191244636125993
DLG2,-0.005649988620561991,-0.011296449766818577,-0.0178871703599438
DLG4,-0.008435079746130088,-0.01257514698371414,-0.03575305467678152
SHANK2,-0.016630506551157286,-0.0019940691111685685,-0.015044517654393571
HOMER1,-0.02068753312507008,0.003156397143562973,-0.03188071228686687
SYN1,0.010352093496758603,0.007268769385609418,-0.015637841123870993
SYT1,0.0049962342314663994,0.0023265125071268225,-0.006577118828898403
SNAP25,0.004061598326686957,0.006851122615707176,0.005159276222789685
GRIN1,2.5956675481701633e-05,-0.001783004860490027,-0.07003688743546357
GRIN2A,-0.008274789307432875,-0.006019960457263177,-0.018799103583663306
GRIN2B,-0.01666649055863074,-0.015421298604521554,-0.03427149000834207
GRIA1,-0.00904285923909546,-0.001307464207539233,-0.015941046724388837
GRIA2,0.004261290700567669,-0.008991495455091713,0.0015442885603579725
GABRA1,0.010896822438878332,-0.0013628842591513997,-0.014129866376489136
GABRB2,0.011156793744748025,-0.005470602365210696,-0.006344681687675686
ANK3,-0.004820265294899041,-0.0034957692263491032,-0.0045920046420347424
RBFOX1,-0.002656861966613504,0.00579591099928436,-0.0036391421828894837
NRG1,-0.014922195574490931,-0.009138950888955978,-0.01780131871056463
ERBB4,-0.00172566529997887,0.0021028411816986126,-0.009425495407804421
