level,metric,cohort,n,b_age,b_age2,p_age2,convex,min_age
all_cells,signed_log,PsychAD-V3,146,2.5451134697641136,-0.12984597080104116,0.28958881656496926,False,34.72516753106392
all_cells,signed_log,Herring-V3,18,-8.336909747773717,0.6278931166274733,0.04283887796513431,True,18.440395069835496
all_cells,signed_log,U01-V2,18,-4.966847850036434,0.5406045640914947,0.00344576543741399,True,20.54706260691385
all_cells,pos_lin,PsychAD-V3,146,94.58421947886802,-4.44889873472457,0.511831136557017,False,35.55472860561292
all_cells,pos_lin,Herring-V3,18,-637.2453945355953,53.25937704549074,0.012775965849681659,True,17.784069523033466
all_cells,pos_lin,U01-V2,18,-479.1863258159357,44.24947542976119,0.0004198505138403588,True,21.367871393932244
ExN_agg,signed_log,PsychAD-V3,144,1.4112863530251594,-0.18941571865639006,0.03420552528247724,False,28.523978686294527
ExN_agg,signed_log,Herring-V3,18,-3.2711847327222117,0.24162136581844462,0.044555776440971744,True,18.570835491668124
ExN_agg,signed_log,U01-V2,18,-2.2024908587493828,0.3427718068199722,0.0024470917073191743,True,19.166037933176632
ExN_agg,pos_lin,PsychAD-V3,144,30.343059382112244,-7.505115675334601,0.09151531156504777,False,26.820102897162727
ExN_agg,pos_lin,Herring-V3,18,-128.6414703418709,20.561290357793922,0.019078141981833243,True,14.929842269663096
ExN_agg,pos_lin,U01-V2,18,-340.6346476157285,33.88260029461828,7.701339058654755e-06,True,20.97996232459521
within_EN,signed_log,PsychAD-V3,118,-0.5654808701993324,0.05656764272380363,0.22454769974172373,True,31.133864696493127
within_EN,signed_log,Herring-V3,18,-3.3706136264315134,0.13685292520798353,0.5572711747671211,True,24.116328097297263
within_EN,signed_log,U01-V2,18,-0.42438372576882255,0.19911483477101988,0.1330887465750662,True,17.01894826081793
within_EN,pos_lin,PsychAD-V3,118,-34.7764365945623,1.7552925123813559,0.7286365739572798,True,36.041758816460074
within_EN,pos_lin,Herring-V3,18,-101.68782686861778,10.435513094562623,0.45109505183913545,True,16.673798799741142
within_EN,pos_lin,U01-V2,18,-195.45991084744855,23.77667207546017,0.014119732438539569,True,20.06360189922757
