source,cell_class,panel,mean_expr,n_genes_found,n_pseudobulks
VELMESHEV,Excitatory,Excitatory,5.223862171173096,7,74
VELMESHEV,Excitatory,Inhibitory,1.5180062055587769,6,74
VELMESHEV,Excitatory,Astrocytes,2.3899781703948975,4,74
VELMESHEV,Excitatory,Oligos,2.858649730682373,3,74
VELMESHEV,Excitatory,OPC,1.7708237171173096,3,74
VELMESHEV,Excitatory,Microglia,0.968244194984436,3,74
VELMESHEV,Inhibitory,Excitatory,3.547354221343994,7,71
VELMESHEV,Inhibitory,Inhibitory,4.334456920623779,6,71
VELMESHEV,Inhibitory,Astrocytes,2.549683094024658,4,71
VELMESHEV,Inhibitory,Oligos,3.0986483097076416,3,71
VELMESHEV,Inhibitory,OPC,2.2883858680725098,3,71
VELMESHEV,Inhibitory,Microglia,1.02332603931427,3,71
VELMESHEV,Astrocytes,Excitatory,3.4021074771881104,7,56
VELMESHEV,Astrocytes,Inhibitory,1.9880415201187134,6,56
VELMESHEV,Astrocytes,Astrocytes,6.551534175872803,4,56
VELMESHEV,Astrocytes,Oligos,3.3372585773468018,3,56
VELMESHEV,Astrocytes,OPC,2.5057733058929443,3,56
VELMESHEV,Astrocytes,Microglia,1.3399841785430908,3,56
VELMESHEV,Oligos,Excitatory,2.84076189994812,7,34
VELMESHEV,Oligos,Inhibitory,1.9704066514968872,6,34
VELMESHEV,Oligos,Astrocytes,2.5457937717437744,4,34
VELMESHEV,Oligos,Oligos,7.732119560241699,3,34
VELMESHEV,Oligos,OPC,2.5112953186035156,3,34
VELMESHEV,Oligos,Microglia,1.1975075006484985,3,34
VELMESHEV,OPC,Excitatory,3.045389413833618,7,60
VELMESHEV,OPC,Inhibitory,2.1360864639282227,6,60
VELMESHEV,OPC,Astrocytes,3.4573872089385986,4,60
VELMESHEV,OPC,Oligos,4.058253765106201,3,60
VELMESHEV,OPC,OPC,5.7540974617004395,3,60
VELMESHEV,OPC,Microglia,0.973290741443634,3,60
VELMESHEV,Microglia,Excitatory,3.067901849746704,7,36
VELMESHEV,Microglia,Inhibitory,2.156219005584717,6,36
VELMESHEV,Microglia,Astrocytes,2.7454354763031006,4,36
VELMESHEV,Microglia,Oligos,4.141091346740723,3,36
VELMESHEV,Microglia,OPC,1.6482741832733154,3,36
VELMESHEV,Microglia,Microglia,6.358189105987549,3,36
PSYCHAD,Excitatory,Excitatory,4.94713830947876,7,133
PSYCHAD,Excitatory,Inhibitory,1.0882710218429565,6,133
PSYCHAD,Excitatory,Astrocytes,2.4806389808654785,4,133
PSYCHAD,Excitatory,Oligos,3.728198766708374,3,133
PSYCHAD,Excitatory,OPC,1.2409380674362183,3,133
PSYCHAD,Excitatory,Microglia,1.635872483253479,3,133
PSYCHAD,Inhibitory,Excitatory,2.5366063117980957,7,140
PSYCHAD,Inhibitory,Inhibitory,4.412720203399658,6,140
PSYCHAD,Inhibitory,Astrocytes,2.7133872509002686,4,140
PSYCHAD,Inhibitory,Oligos,3.9458727836608887,3,140
PSYCHAD,Inhibitory,OPC,1.970182180404663,3,140
PSYCHAD,Inhibitory,Microglia,1.4045205116271973,3,140
PSYCHAD,Astrocytes,Excitatory,2.6815185546875,7,86
PSYCHAD,Astrocytes,Inhibitory,1.7816656827926636,6,86
PSYCHAD,Astrocytes,Astrocytes,6.629894733428955,4,86
PSYCHAD,Astrocytes,Oligos,4.1998291015625,3,86
PSYCHAD,Astrocytes,OPC,2.3536481857299805,3,86
PSYCHAD,Astrocytes,Microglia,2.197054862976074,3,86
PSYCHAD,Oligos,Excitatory,2.4275405406951904,7,135
PSYCHAD,Oligos,Inhibitory,1.9020544290542603,6,135
PSYCHAD,Oligos,Astrocytes,2.9621689319610596,4,135
PSYCHAD,Oligos,Oligos,7.633756637573242,3,135
PSYCHAD,Oligos,OPC,1.6024421453475952,3,135
PSYCHAD,Oligos,Microglia,1.4060912132263184,3,135
PSYCHAD,OPC,Excitatory,2.167526960372925,7,77
PSYCHAD,OPC,Inhibitory,2.162259578704834,6,77
PSYCHAD,OPC,Astrocytes,3.990814685821533,4,77
PSYCHAD,OPC,Oligos,4.944939613342285,3,77
PSYCHAD,OPC,OPC,5.761043548583984,3,77
PSYCHAD,OPC,Microglia,1.8338781595230103,3,77
PSYCHAD,Microglia,Excitatory,2.481160879135132,7,34
PSYCHAD,Microglia,Inhibitory,2.224053144454956,6,34
PSYCHAD,Microglia,Astrocytes,3.3286044597625732,4,34
PSYCHAD,Microglia,Oligos,5.002086162567139,3,34
PSYCHAD,Microglia,OPC,1.835173487663269,3,34
PSYCHAD,Microglia,Microglia,6.212240695953369,3,34
