cell_class,layer,stratum,best_d,best_p,n_child,n_adol,child_window,adol_window
Excitatory,counts_cpm,Vel-V2,3.0175849790283857,0.001332001332001332,8,6,"(1, 8)","(12, 20)"
Excitatory,counts_cpm,Vel-V3,-1.2076910160500067,0.4,4,3,"(3, 10)","(12, 18)"
Excitatory,counts_cpm,Vel-all,1.2404664525969602,0.004528632847483329,14,13,"(1, 8)","(12, 22)"
Excitatory,counts_cpm,PsychAD-V3,-0.7185980204342051,0.26236631016042783,3,31,"(1, 9)","(11, 22)"
Excitatory,counts_cpm,V3-pooled,-0.6470915425314673,0.2211222493635844,6,36,"(3, 10)","(12, 22)"
Excitatory,scvi_normalized,Vel-V2,0.9416512685527703,0.3151515151515151,7,4,"(2, 8)","(12, 18)"
Excitatory,scvi_normalized,Vel-V3,-0.7845575766605386,0.4,4,3,"(3, 10)","(12, 18)"
Excitatory,scvi_normalized,Vel-all,0.6981065118637145,0.14856177489186861,11,11,"(2, 8)","(12, 20)"
Excitatory,scvi_normalized,PsychAD-V3,-1.2257494610197273,0.1196524064171123,3,31,"(1, 9)","(11, 22)"
Excitatory,scvi_normalized,V3-pooled,-0.49377156481384754,0.2497780122940585,6,36,"(3, 10)","(12, 22)"
Excitatory,scanvi_normalized,Vel-V2,0.9448929137287757,0.2303030303030303,7,4,"(2, 8)","(12, 18)"
Excitatory,scanvi_normalized,Vel-V3,-0.6770754939014128,0.4,4,3,"(3, 10)","(12, 18)"
Excitatory,scanvi_normalized,Vel-all,0.5908693648990777,0.13096810379821186,11,11,"(2, 8)","(12, 20)"
Excitatory,scanvi_normalized,PsychAD-V3,-1.3600219024858662,0.1196524064171123,3,31,"(1, 9)","(11, 22)"
Excitatory,scanvi_normalized,V3-pooled,-0.6693596854465071,0.1594967846572468,6,36,"(3, 10)","(12, 22)"
