label_source,source_chem,age_bin,n_donors
joint_scanvi,PSYCHAD-V3,<1,10
joint_scanvi,PSYCHAD-V3,1-2,4
joint_scanvi,PSYCHAD-V3,2-5,4
joint_scanvi,PSYCHAD-V3,5-10,3
joint_scanvi,PSYCHAD-V3,10-15,17
joint_scanvi,PSYCHAD-V3,15-20,23
joint_scanvi,PSYCHAD-V3,20-25,19
joint_scanvi,PSYCHAD-V3,25-30,20
joint_scanvi,PSYCHAD-V3,30-50,57
joint_scanvi,PSYCHAD-V3,50-70,22
joint_scanvi,PSYCHAD-V3,70+,11
joint_scanvi,VELMESHEV-V2,<1,15
joint_scanvi,VELMESHEV-V2,1-2,1
joint_scanvi,VELMESHEV-V2,2-5,5
joint_scanvi,VELMESHEV-V2,5-10,2
joint_scanvi,VELMESHEV-V2,10-15,5
joint_scanvi,VELMESHEV-V2,15-20,2
joint_scanvi,VELMESHEV-V2,20-25,2
joint_scanvi,VELMESHEV-V2,30-50,3
joint_scanvi,VELMESHEV-V3,<1,23
joint_scanvi,VELMESHEV-V3,1-2,2
joint_scanvi,VELMESHEV-V3,2-5,3
joint_scanvi,VELMESHEV-V3,5-10,3
joint_scanvi,VELMESHEV-V3,10-15,2
joint_scanvi,VELMESHEV-V3,15-20,4
joint_scanvi,VELMESHEV-V3,20-25,1
joint_scanvi,VELMESHEV-V3,30-50,1
psychad_original,PSYCHAD-V3,<1,11
psychad_original,PSYCHAD-V3,1-2,4
psychad_original,PSYCHAD-V3,2-5,4
psychad_original,PSYCHAD-V3,5-10,4
psychad_original,PSYCHAD-V3,10-15,17
psychad_original,PSYCHAD-V3,15-20,23
psychad_original,PSYCHAD-V3,20-25,22
psychad_original,PSYCHAD-V3,25-30,22
psychad_original,PSYCHAD-V3,30-50,59
psychad_original,PSYCHAD-V3,50-70,23
psychad_original,PSYCHAD-V3,70+,11
vel_original,VELMESHEV-V2,<1,17
vel_original,VELMESHEV-V2,1-2,1
vel_original,VELMESHEV-V2,2-5,5
vel_original,VELMESHEV-V2,5-10,2
vel_original,VELMESHEV-V2,10-15,5
vel_original,VELMESHEV-V2,15-20,2
vel_original,VELMESHEV-V2,20-25,2
vel_original,VELMESHEV-V2,30-50,3
vel_original,VELMESHEV-V3,<1,23
vel_original,VELMESHEV-V3,1-2,2
vel_original,VELMESHEV-V3,2-5,3
vel_original,VELMESHEV-V3,5-10,3
vel_original,VELMESHEV-V3,10-15,2
vel_original,VELMESHEV-V3,15-20,4
vel_original,VELMESHEV-V3,20-25,1
vel_original,VELMESHEV-V3,30-50,1
