hvg_size,intersection_size,group,n_cells,EN_mean,IN_mean,EN_over_IN
FULL_COMMON,15540,PSYCHAD,64514,0.19505196498066144,1.211082883851392,0.16105583475782964
FULL_COMMON,15540,WANG,31914,0.92657722013517,0.6888163707715133,1.345173050623315
FULL_COMMON,15540,VEL,62711,1.4051001107139525,0.7415449079162093,1.8948280728776759
2000,740,PSYCHAD,64514,5.755500928248389,13.60993233137675,0.42288975343077884
2000,740,WANG,31914,37.836057319554,8.886385688112195,4.257755474862138
2000,740,VEL,62711,56.21778310350922,7.7969265095441145,7.210249195947086
5000,2186,PSYCHAD,64514,1.2247476437822893,5.607014817347098,0.21843131924223
5000,2186,WANG,31914,8.001694383169088,3.8674274188359785,2.068996651916081
5000,2186,VEL,62711,11.523937379275308,3.6143490796242985,3.1883852727597644
10000,5348,PSYCHAD,64514,0.6421830363747356,3.1267884236842005,0.20538103291705603
10000,5348,WANG,31914,3.79068711342689,2.033658984946861,1.8639738223672568
10000,5348,VEL,62711,5.839336292716416,2.249629789909449,2.595687662171192
