hvg_size,intersection_size,group,n_cells,en_mean,in_mean,en_over_in,lib_mean,lib_median,n_en_markers,n_in_markers
FULL_15K,15000,PSYCHAD,32257,0.19523473192330917,1.2120669593132196,0.16107586322859344,12586.968657965714,8636.0,6,5
FULL_15K,15000,WANG,31914,0.8058601025223346,0.6818924918583839,1.1817993466159138,6507.508084226359,5486.0,6,5
FULL_15K,15000,VEL,62711,1.8126222507013032,0.6103157440241256,2.9699745836143405,5559.771858206695,4319.0,6,5
1000,423,PSYCHAD,32257,0.0,26.726129421366466,0.0,869.3634869950708,459.0,0,1
1000,423,WANG,31914,0.0,15.043063810515893,0.0,342.1039042426521,274.0,0,1
1000,423,VEL,62711,0.0,13.492530245025797,0.0,271.34113632377097,193.0,0,1
2500,1374,PSYCHAD,32257,0.6066054708840551,11.953053218910595,0.05074899774340604,2254.9023467774437,1379.0,2,2
2500,1374,WANG,31914,2.6269233050259406,6.8112170853034915,0.38567605051208187,1040.0417685028515,857.0,2,2
2500,1374,VEL,62711,4.162019579516016,5.970757101621329,0.6970673078777185,872.8098260273317,650.0,2,2
5000,3131,PSYCHAD,32257,0.8284705398662512,5.103662115202374,0.16232864186603221,3731.628886753263,2387.0,4,3
5000,3131,WANG,31914,3.780311420469306,2.8121638731612264,1.3442713830455009,1954.5762361346117,1615.0,4,3
5000,3131,VEL,62711,10.07584783949678,2.4357640251358,4.136627247706558,1581.7272248887755,1184.0,4,3
10000,8025,PSYCHAD,32257,0.4486864586125492,2.779291188940372,0.1614391684601337,5510.544842979818,3622.0,6,5
10000,8025,WANG,31914,1.7440098708411886,1.5182817702562375,1.1486733911045919,2996.3577740176725,2501.0,6,5
10000,8025,VEL,62711,4.542570823639018,1.5090835650004615,3.0101519398811267,2371.206614469551,1779.0,6,5
